wavelength,ULTRABLUE,BLUE,GREEN,RED,NIR,CIRRUS,SWIR1,SWIR2
0.573,0.00E+00,0,0.97517,0,0,0,0,0
0.574,0.00E+00,0,0.97691,0,0,0,0,0
0.575,0.00E+00,0,0.97496,0,0,0,0,0
0.576,0.00E+00,0,0.96898,0,0,0,0,0
0.577,0.00E+00,0,0.96857,0,0,0,0,0
0.578,0.00E+00,0,0.97463,0,0,0,0,0
0.579,0.00E+00,0,0.98144,0,0,0,0,0
0.58,0.00E+00,0,0.97249,0,0,0,0,0
0.581,0.00E+00,0,0.96609,0,0,0,0,0
0.582,0.00E+00,0,0.97553,0,0,0,0,0
0.583,0.00E+00,0,0.98505,0,0,0,0,0
0.584,0.00E+00,0,0.98106,0,0,0,0,0
0.585,0.00E+00,0,0.96169,0,0,0,0,0
0.586,0.00E+00,0,0.92753,0,0,0,0,0
0.587,0.00E+00,0,0.86164,0,0,0,0,0
0.588,0.00E+00,0,0.75334,0,0,0,0,0
0.589,0.00E+00,0,0.61312,0,0,0,0,0
0.59,0.00E+00,0,0.44432,0,0,0,0,0
0.591,0.00E+00,0,0.27566,0,0,0,0,0
0.592,0.00E+00,0,0.14429,0,0,0,0,0
0.593,0.00E+00,0,0.06423,0,0,0,0,0
0.594,0.00E+00,0,0.0258,0,0,0,0,0
0.595,0.00E+00,0,0.01043,0,0,0,0,0
0.596,0.00E+00,0,0.00442,0,0,0,0,0
0.597,0.00E+00,0,0.0019,0,0,0,0,0
0.598,0.00E+00,0,0.00076,0,0,0,0,0
0.599,0.00E+00,0,0.00025,0,0,0,0,0
0.6,0.00E+00,0,0.00003,0,0,0,0,0
0.601,0.00E+00,0,0,0,0,0,0,0
0.602,0.00E+00,0,0,0,0,0,0,0
0.603,0.00E+00,0,0,0,0,0,0,0
0.604,0.00E+00,0,0,0,0,0,0,0
0.605,0.00E+00,0,0,0,0,0,0,0
0.606,0.00E+00,0,0,0,0,0,0,0
0.607,0.00E+00,0,0,0,0,0,0,0
0.608,0.00E+00,0,0,0,0,0,0,0
0.609,0.00E+00,0,0,0,0,0,0,0
0.61,0.00E+00,0,0,0,0,0,0,0
0.611,0.00E+00,0,0,0,0,0,0,0
0.612,0.00E+00,0,0,0,0,0,0,0
0.613,0.00E+00,0,0,0,0,0,0,0
0.614,0.00E+00,0,0,0,0,0,0,0
0.615,0.00E+00,0,0,0,0,0,0,0
0.616,0.00E+00,0,0,0,0,0,0,0
