wavelength,BLUE,GREEN,RED,NIR,SWIR1,SWIR2
0.708,0,0,0,0,0,0
0.709,0,0,0,0,0,0
0.71,0,0,0,0,0,0
0.711,0,0,0,0,0,0
0.712,0,0,0,0,0,0
0.713,0,0,0,0,0,0
0.714,0,0,0,0,0,0
0.715,0,0,0,0,0,0
0.716,0,0,0,0,0,0
0.717,0,0,0,0,0,0
0.718,0,0,0,0,0,0
0.719,0,0,0,0,0,0
0.72,0,0,0,0,0,0
0.721,0,0,0,0,0,0
0.722,0,0,0,0,0,0
0.723,0,0,0,0,0,0
0.724,0,0,0,0,0,0
0.725,0,0,0,0,0,0
0.726,0,0,0,0,0,0
0.727,0,0,0,0,0,0
0.728,0,0,0,0,0,0
0.729,0,0,0,0,0,0
0.73,0,0,0,0,0,0
0.731,0,0,0,0,0,0
0.732,0,0,0,0,0,0
0.733,0,0,0,0,0,0
0.734,0,0,0,0,0,0
0.735,0,0,0,0.00003,0,0
0.736,0,0,0,0.00011,0,0
0.737,0,0,0,0.0002,0,0
0.738,0,0,0,0.00028,0,0
0.739,0,0,0,0.00036,0,0
0.74,0,0,0,0.0007,0,0
0.741,0,0,0,0.00137,0,0
0.742,0,0,0,0.00201,0,0
0.743,0,0,0,0.00267,0,0
0.744,0,0,0,0.00333,0,0
0.745,0,0,0,0.00345,0,0
0.746,0,0,0,0.00292,0,0
0.747,0,0,0,0.00238,0,0
0.748,0,0,0,0.00184,0,0
0.749,0,0,0,0.0013,0,0
0.75,0,0,0,0.00703,0,0
0.751,0,0,0,0.01611,0,0
0.752,0,0,0,0.01973,0,0
0.753,0,0,0,0.02398,0,0
0.754,0,0,0,0.02897,0,0
0.755,0,0,0,0.03429,0,0
0.756,0,0,0,0.04207,0,0
0.757,0,0,0,0.05136,0,0
0.758,0,0,0,0.06187,0,0
0.759,0,0,0,0.06889,0,0
0.76,0,0,0,0.0753,0,0
0.761,0,0,0,0.0902,0,0
0.762,0,0,0,0.1089,0,0
0.763,0,0,0,0.13225,0,0
0.764,0,0,0,0.15905,0,0
0.765,0,0,0,0.1903,0,0
0.766,0,0,0,0.22655,0,0
0.767,0,0,0,0.2687,0,0
0.768,0,0,0,0.3174,0,0
0.769,0,0,0,0.3712,0,0
0.77,0,0,0,0.42945,0,0
0.771,0,0,0,0.49,0,0
0.772,0,0,0,0.55225,0,0
0.773,0,0,0,0.61545,0,0
0.774,0,0,0,0.6742,0,0
0.775,0,0,0,0.7284,0,0
0.776,0,0,0,0.775,0,0
0.777,0,0,0,0.8105,0,0
0.778,0,0,0,0.8387,0,0
0.779,0,0,0,0.8611,0,0
0.78,0,0,0,0.87685,0,0
0.781,0,0,0,0.8876,0,0
0.782,0,0,0,0.89515,0,0
0.783,0,0,0,0.9008,0,0
0.784,0,0,0,0.90525,0,0
0.785,0,0,0,0.90935,0,0
0.786,0,0,0,0.91325,0,0
0.787,0,0,0,0.9178,0,0
0.788,0,0,0,0.92225,0,0
0.789,0,0,0,0.92545,0,0
0.79,0,0,0,0.92645,0,0
0.791,0,0,0,0.927,0,0
0.792,0,0,0,0.9279,0,0
0.793,0,0,0,0.93035,0,0
0.794,0,0,0,0.9311,0,0
0.795,0,0,0,0.9282,0,0
0.796,0,0,0,0.926,0,0
0.797,0,0,0,0.92555,0,0
0.798,0,0,0,0.92635,0,0
0.799,0,0,0,0.92665,0,0
0.8,0,0,0,0.92545,0,0
0.801,0,0,0,0.9269,0,0
0.802,0,0,0,0.928,0,0
0.803,0,0,0,0.928,0,0
0.804,0,0,0,0.92575,0,0
0.805,0,0,0,0.92165,0,0
0.806,0,0,0,0.91955,0,0
0.807,0,0,0,0.91675,0,0
0.808,0,0,0,0.9122,0,0
0.809,0,0,0,0.9091,0,0
0.81,0,0,0,0.90665,0,0
0.811,0,0,0,0.9041,0,0
0.812,0,0,0,0.90345,0,0
0.813,0,0,0,0.9031,0,0
0.814,0,0,0,0.90515,0,0
0.815,0,0,0,0.9126,0,0
